#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_B1Sigma.dat'
#   Date of creation: 13. April 2022
#   Time of creation: 06:32:53
#   Used input file: 'H2_Janev_10_05_2017.txt'
#   Performed calculation: Population Coefficient for state 'B1Sigma' coupled to the particle 'X1Sigma'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 25 calculated values between 1.0000 and 10.0000
#              T_n2: Fixed value 2000.0000
#              n_e: 25 calculated values between 1.0000e+17 and 1.0000e+19
#              n_i1: Fixed value 0.0000
#              n_n2: Fixed value 1.0000e+19

#   Additional variables: 
#              x: Fixed value 1.0000
#              y: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+17    5.14272777e-28     
   1.0000        1.2115e+17    5.14238301e-28     
   1.0000        1.4678e+17    5.14200197e-28     
   1.0000        1.7783e+17    5.14158347e-28     
   1.0000        2.1544e+17    5.14112624e-28     
   1.0000        2.6102e+17    5.14062866e-28     
   1.0000        3.1623e+17    5.14008820e-28     
   1.0000        3.8312e+17    5.13950092e-28     
   1.0000        4.6416e+17    5.13886079e-28     
   1.0000        5.6234e+17    5.13815910e-28     
   1.0000        6.8129e+17    5.13738377e-28     
   1.0000        8.2540e+17    5.13651877e-28     
   1.0000        1.0000e+18    5.13554353e-28     
   1.0000        1.2115e+18    5.13443225e-28     
   1.0000        1.4678e+18    5.13315327e-28     
   1.0000        1.7783e+18    5.13166815e-28     
   1.0000        2.1544e+18    5.12993064e-28     
   1.0000        2.6102e+18    5.12788530e-28     
   1.0000        3.1623e+18    5.12546580e-28     
   1.0000        3.8312e+18    5.12259282e-28     
   1.0000        4.6416e+18    5.11917148e-28     
   1.0000        5.6234e+18    5.11508833e-28     
   1.0000        6.8129e+18    5.11020787e-28     
   1.0000        8.2540e+18    5.10436850e-28     
   1.0000        1.0000e+19    5.09737822e-28     
   1.1007        1.0000e+17    1.30685156e-27     
   1.1007        1.2115e+17    1.30673119e-27     
   1.1007        1.4678e+17    1.30659883e-27     
   1.1007        1.7783e+17    1.30645432e-27     
   1.1007        2.1544e+17    1.30629760e-27     
   1.1007        2.6102e+17    1.30612853e-27     
   1.1007        3.1623e+17    1.30594679e-27     
   1.1007        3.8312e+17    1.30575167e-27     
   1.1007        4.6416e+17    1.30554189e-27     
   1.1007        5.6234e+17    1.30531538e-27     
   1.1007        6.8129e+17    1.30506908e-27     
   1.1007        8.2540e+17    1.30479874e-27     
   1.1007        1.0000e+18    1.30449877e-27     
   1.1007        1.2115e+18    1.30416202e-27     
   1.1007        1.4678e+18    1.30377962e-27     
   1.1007        1.7783e+18    1.30334073e-27     
   1.1007        2.1544e+18    1.30283225e-27     
   1.1007        2.6102e+18    1.30223847e-27     
   1.1007        3.1623e+18    1.30154059e-27     
   1.1007        3.8312e+18    1.30071613e-27     
   1.1007        4.6416e+18    1.29973827e-27     
   1.1007        5.6234e+18    1.29857496e-27     
   1.1007        6.8129e+18    1.29718796e-27     
   1.1007        8.2540e+18    1.29553177e-27     
   1.1007        1.0000e+19    1.29355237e-27     
   1.2115        1.0000e+17    3.07560487e-27     
   1.2115        1.2115e+17    3.07522427e-27     
   1.2115        1.4678e+17    3.07480740e-27     
   1.2115        1.7783e+17    3.07435450e-27     
   1.2115        2.1544e+17    3.07386617e-27     
   1.2115        2.6102e+17    3.07334308e-27     
   1.2115        3.1623e+17    3.07278554e-27     
   1.2115        3.8312e+17    3.07219295e-27     
   1.2115        4.6416e+17    3.07156323e-27     
   1.2115        5.6234e+17    3.07089217e-27     
   1.2115        6.8129e+17    3.07017289e-27     
   1.2115        8.2540e+17    3.06939524e-27     
   1.2115        1.0000e+18    3.06854535e-27     
   1.2115        1.2115e+18    3.06760513e-27     
   1.2115        1.4678e+18    3.06655179e-27     
   1.2115        1.7783e+18    3.06535723e-27     
   1.2115        2.1544e+18    3.06398738e-27     
   1.2115        2.6102e+18    3.06240129e-27     
   1.2115        3.1623e+18    3.06054991e-27     
   1.2115        3.8312e+18    3.05837471e-27     
   1.2115        4.6416e+18    3.05580585e-27     
   1.2115        5.6234e+18    3.05276003e-27     
   1.2115        6.8129e+18    3.04913807e-27     
   1.2115        8.2540e+18    3.04482203e-27     
   1.2115        1.0000e+19    3.03967223e-27     
   1.3335        1.0000e+17    6.73707703e-27     
   1.3335        1.2115e+17    6.73599020e-27     
   1.3335        1.4678e+17    6.73480325e-27     
   1.3335        1.7783e+17    6.73351824e-27     
   1.3335        2.1544e+17    6.73213862e-27     
   1.3335        2.6102e+17    6.73066855e-27     
   1.3335        3.1623e+17    6.72911166e-27     
   1.3335        3.8312e+17    6.72746968e-27     
   1.3335        4.6416e+17    6.72574080e-27     
   1.3335        5.6234e+17    6.72391805e-27     
   1.3335        6.8129e+17    6.72198768e-27     
   1.3335        8.2540e+17    6.71992777e-27     
   1.3335        1.0000e+18    6.71770693e-27     
   1.3335        1.2115e+18    6.71528311e-27     
   1.3335        1.4678e+18    6.71260243e-27     
   1.3335        1.7783e+18    6.70959789e-27     
   1.3335        2.1544e+18    6.70618769e-27     
   1.3335        2.6102e+18    6.70227325e-27     
   1.3335        3.1623e+18    6.69773649e-27     
   1.3335        3.8312e+18    6.69243648e-27     
   1.3335        4.6416e+18    6.68620524e-27     
   1.3335        5.6234e+18    6.67884278e-27     
   1.3335        6.8129e+18    6.67011122e-27     
   1.3335        8.2540e+18    6.65972824e-27     
   1.3335        1.0000e+19    6.64735988e-27     
   1.4678        1.0000e+17    1.38052538e-26     
   1.4678        1.2115e+17    1.38024091e-26     
   1.4678        1.4678e+17    1.37993096e-26     
   1.4678        1.7783e+17    1.37959634e-26     
   1.4678        2.1544e+17    1.37923832e-26     
   1.4678        2.6102e+17    1.37885843e-26     
   1.4678        3.1623e+17    1.37845819e-26     
   1.4678        3.8312e+17    1.37803873e-26     
   1.4678        4.6416e+17    1.37760045e-26     
   1.4678        5.6234e+17    1.37714254e-26     
   1.4678        6.8129e+17    1.37666264e-26     
   1.4678        8.2540e+17    1.37615647e-26     
   1.4678        1.0000e+18    1.37561751e-26     
   1.4678        1.2115e+18    1.37503676e-26     
   1.4678        1.4678e+18    1.37440244e-26     
   1.4678        1.7783e+18    1.37369972e-26     
   1.4678        2.1544e+18    1.37291040e-26     
   1.4678        2.6102e+18    1.37201244e-26     
   1.4678        3.1623e+18    1.37097943e-26     
   1.4678        3.8312e+18    1.36977984e-26     
   1.4678        4.6416e+18    1.36837613e-26     
   1.4678        5.6234e+18    1.36672366e-26     
   1.4678        6.8129e+18    1.36476942e-26     
   1.4678        8.2540e+18    1.36245059e-26     
   1.4678        1.0000e+19    1.35969298e-26     
   1.6156        1.0000e+17    2.65953028e-26     
   1.6156        1.2115e+17    2.65884852e-26     
   1.6156        1.4678e+17    2.65810690e-26     
   1.6156        1.7783e+17    2.65730780e-26     
   1.6156        2.1544e+17    2.65645484e-26     
   1.6156        2.6102e+17    2.65555246e-26     
   1.6156        3.1623e+17    2.65460527e-26     
   1.6156        3.8312e+17    2.65361724e-26     
   1.6156        4.6416e+17    2.65259083e-26     
   1.6156        5.6234e+17    2.65152602e-26     
   1.6156        6.8129e+17    2.65041945e-26     
   1.6156        8.2540e+17    2.64926358e-26     
   1.6156        1.0000e+18    2.64804600e-26     
   1.6156        1.2115e+18    2.64674886e-26     
   1.6156        1.4678e+18    2.64534826e-26     
   1.6156        1.7783e+18    2.64381372e-26     
   1.6156        2.1544e+18    2.64210745e-26     
   1.6156        2.6102e+18    2.64018357e-26     
   1.6156        3.1623e+18    2.63798691e-26     
   1.6156        3.8312e+18    2.63545163e-26     
   1.6156        4.6416e+18    2.63249937e-26     
   1.6156        5.6234e+18    2.62903706e-26     
   1.6156        6.8129e+18    2.62495436e-26     
   1.6156        8.2540e+18    2.62012069e-26     
   1.6156        1.0000e+19    2.61438209e-26     
   1.7783        1.0000e+17    4.84032818e-26     
   1.7783        1.2115e+17    4.83881015e-26     
   1.7783        1.4678e+17    4.83716090e-26     
   1.7783        1.7783e+17    4.83538654e-26     
   1.7783        2.1544e+17    4.83349614e-26     
   1.7783        2.6102e+17    4.83150085e-26     
   1.7783        3.1623e+17    4.82941263e-26     
   1.7783        3.8312e+17    4.82724252e-26     
   1.7783        4.6416e+17    4.82499874e-26     
   1.7783        5.6234e+17    4.82268468e-26     
   1.7783        6.8129e+17    4.82029700e-26     
   1.7783        8.2540e+17    4.81782392e-26     
   1.7783        1.0000e+18    4.81524374e-26     
   1.7783        1.2115e+18    4.81252353e-26     
