particle,time,qx,qy,qz,py,pz,mp
0,37.429,44.07178743599849,-1.223636194543112,2.488116683594489,-0.0121159721442683,0.0381519011493853,1.672621898e-27
1,37.279,44.02264498228053,-0.6175949460330142,0.0181079916240664,-0.0017692528374559,-0.0018946786801497,1.672621898e-27
2,37.241,44.03038174023475,-0.6380651547154736,1.0910303516581397,-0.0113288185042637,0.0118638013660302,1.672621898e-27
3,37.091,44.03246579461156,-0.0437909216902444,0.1665316124365127,-0.0112781852792992,-0.0020344108055793,1.672621898e-27
4,37.354,44.05316273295922,-0.9255015057397444,-0.5447867502170954,-0.0065245678178379,-0.0040889660094723,1.672621898e-27
5,37.429,44.083364223385765,-1.5497226663194994,-2.785737181772501,-0.0281521749805158,-0.0414951945448317,1.672621898e-27
6,37.166,44.086422365033165,-0.232703669024537,-0.1441538943566944,-0.0105700995904604,-0.000861869431484265,1.672621898e-27
7,37.279,44.07064803468017,-0.703828425485247,-0.4514675980267253,-0.012130071843337,-0.0017114458282533,1.672621898e-27
8,37.279,44.08950087342126,-0.6838037258677686,-0.2866450412478597,-0.0133856154139897,0.0013486277509907,1.672621898e-27
9,37.241,44.0267765075082,-0.6464090363769789,0.4139324594080745,-0.0117323576799741,-0.0018828462953876,1.672621898e-27
10,37.391,44.07495200876231,-1.3209402836623851,-2.155915589450211,-0.0217317826385566,-0.0276774627552646,1.672621898e-27
11,37.391,44.0862308968288,-0.83615069565646,0.7115689616611552,0.0029258045251411,0.0073219211825125,1.672621898e-27
12,37.241,44.079800880009984,-0.5189655329623445,0.598103511155404,-0.0076776783298063,0.001845948265697,1.672621898e-27
13,37.241,44.01349288008126,-0.5952177440299573,0.7992053662589279,-0.0073479962446206,0.0088618563895751,1.672621898e-27
14,37.204,44.0169191917732,-0.6840562995310183,1.4554383191796458,-0.0175858274849795,0.0100360267953429,1.672621898e-27
15,37.391,44.07112537549943,-1.459597411053798,1.7597887227346758,-0.025681525612183,0.0149290287938924,1.672621898e-27
16,37.241,44.02720333257045,-0.874537074769441,-1.3255739820451895,-0.0245970004916554,-0.0080713429975454,1.672621898e-27
17,36.941,44.04062413223705,0.6010816516871891,0.3228997578615845,-0.0101160914039018,-0.0040478000375887,1.672621898e-27
18,37.316,44.03377289621686,-0.8726647766962742,-1.177188883789499,-0.0097558908817836,-0.0141607381690255,1.672621898e-27
19,37.128,44.03376568416224,-0.1915458796760568,-0.5739209212561246,-0.0108256402512141,-0.0030242199580079,1.672621898e-27
20,37.128,44.086831712103326,-0.1425593211637721,0.8735174204150546,-0.0123322064057051,0.0049721020588128,1.672621898e-27
21,37.166,44.02454533675855,-0.4050891217463586,-0.4413420186393987,-0.0162844404936435,0.0006753360213922319,1.672621898e-27
22,36.791,44.00619937287943,1.2474144361058286,-0.2231965165530348,-0.0023465755922989,0.0129758256604919,1.672621898e-27
23,37.466,44.02897160762963,-1.5978753534930952,2.5769219128104712,-0.020697034269266,0.0408138023581166,1.672621898e-27
24,37.241,44.06019783337335,-0.5669447199921142,0.9020642398011832,-0.009549603262596,0.0086089131604302,1.672621898e-27
25,37.391,44.01398435379511,-1.0649136494944351,-0.8281461735984088,-0.004180216578744,-0.0107212701488838,1.672621898e-27
26,37.316,44.02385768325873,-0.6817759246028322,0.319680669106306,0.0019015414772028,0.004533995244318,1.672621898e-27
27,36.978,44.02435112014004,0.389130227771172,0.0106213580805253,-0.0127884820551173,0.0122873054668091,1.672621898e-27
28,37.053,44.06796181603416,0.1824519168239178,0.1767203484929318,-0.0100244313759785,0.00033852558839976213,1.672621898e-27
29,37.429,44.0196104451342,-1.065694054972859,-1.488935373499394,0.0009455433413747816,-0.0223366098196524,1.672621898e-27
30,37.016,44.00546244491252,0.2060727951305906,0.2320822214484569,-0.0119613881261886,-0.003234495133385,1.672621898e-27
31,37.354,44.01805924069265,-0.888545160069756,-0.6959016010668366,-0.0017033820270963,-0.0080166446574663,1.672621898e-27
